id,text,non_irony,irony
714,"Wearing my @user rangers shirt, flipping off a crowd in his hometown of boston. So much",0,1
715,Ed Sheeran smashing out his tunes on the Victoria's Secret catwalk. Ginger legend!,1,0
716,"You're any moment, every second,|Every scent and every flower|As a girl.",1,0
717,"It's the crackhead uncle of the HBCU family ""@_KKoolPoINtz_: Every HBCU in Alabama looks at Alabama State sideways lmao!""",1,0
718,@user @user yeah I'm avoiding you by waking up at 6 AM my time so by 10 PM I'm exhausted.  #sucksimissedyou <3,0,1
719,Watch amazing race contestant talk juicy!,1,0
720,love being able to be comfortable in my own room😃👍,0,1
721,"Sometimes I wonder, am I the mouse, or am I the experimenter?",1,0
722,A day where  ruled @user I got followed by @user Wht a  day!! Lollllll.,0,1
723,Oh how I love fainting randomly,0,1
724,So glad they've found a way to make the gospel socially relevant to klingons!,0,1
725,I promote #EDM why would I add jazz? Some ppl will do anything 2b popular #SoObvious #WTF #AttentionWhore #keepitreal,1,0
726,"@user yeah I did, because it didn't show the convo and stuff, was gonna text it you but NO :)",1,0
727,Not felt this I'll since I was in kos! Eugh a great end to a great week......  #beenshite #killme,0,1
728,"Azealia Banks call Iggy ""Igloo Australian""...WOOOW an incredible rapper diss another one",0,1
729,There is nothing I love more than listening to the black eyed peas on the way home from a Saturday night loss in petrolia #killerband,0,1
730,@user All #U Can Do Beautiful Is Your #BEST Winning Is  Important Taking Part & Having Fun Is What Matter's :-),1,0
731,I think I might be an artist  #flowers #pretty #love #beautiful #painting #art #nature #lchs,0,1
732,@user what for ? waste of time...:),1,0
733,"at least... I've got spine, cause I can feel the pain in my back. #thinkpositive|",0,1
734,@user anytime! Cash is acceptable every where. And can be used toward whatever they want/need.,1,0
735,It's funny because your a fake ass bitch :) #yourAtruefriendtoher,0,1
736,So far today I burned my tongue on my coffee. Saw a dead guy on the freeway and chipped the windshield in the truck #gonnahaveagoodday,0,1
737,I love my mom,0,1
738,@user He's just trying to drive Suh's price up.,0,1
739,"@user @user it's ok Kev, Gurney's bowling the next over",0,1
740,@user @user do you wanna cry? That's how you cry. Omg,1,0
741,I picked a great night to not want to sleep.,0,1
742,"But hey, 1 study guide for chemistry down 5 to go",1,0
743,@user nah dude my buddy puked all over steak and shake,1,0
744,@user ooooo touching myself to ODB he is the greatest Giants player to ever play the game... Screw that the best player ever!!,0,1
745,Might go back to bed it's easier then making the effort @user   #wrong 😂😭,1,0
746,AHHH WINNER AND EPIK HIGH. #2014MAMA,1,0
747,Babysitting night! Hoping my car doesn't get towed bc idk where to park 😰,1,0
748,I have to leave for school at 9am and I'm still in bed #fucktherain #wherearemyhunters #imgonnalooksocutetoday,0,1
749,3 hours of sleep is sufficient to tackle this day.  #timezoneproblems,0,1
750,day 3 : sun|but it's not sunny today ☁|#DecemberPhotoChallenge #france #sun #or  #today #day3...,1,0
751,So this week is just getting better and better  😭,0,1
752,"Grandma's coming over, yay money. #lol #kidding",0,1
753,S/O to the Bengals for sucking it up yesterday. Totally made it worth me staying up 24 hours yesterday and coming to work this am.,0,1
754,"#Hunger #has  #vanished #from #our #affluent, even #overweight, #society –",1,0
755,Gripping new ebook not for the fainthearted or politically correct. Please visit site,1,0
756,"soon, stop, wtf, and omg are deff my fav things to hear 😂",0,1
757,25 Historical Images That Normalize #Breastfeeding via @user We're so more tolerant now...,0,1
758,crushes are great until you realize they'll never be interested in you.| :p,0,1
759,I'm so glad I work a double on New Year's Eve and then most of New Year's Day...  #pissed,0,1
760,I love finals week! #justkidding  #stressed,0,1
761,Funny Annoying You Men's Tee Great for family reunions! #funny  #tees,0,1
762,"@user Because your ""sarcastic""?",0,1
763,@user I'm not a Lohan anymore 😁 detox now for 4 weeks new me! 1 week tomorrow 😘,1,0
764,Chasing my dog though the house  fun,1,0
765,Huge for @user RT @user Congrats to today's #12DaysOfChristmasSweatersContest winner @user,1,0
766,They don't even listen to ur order talk about great customer service 👎,0,1
767,Ah @user soul show making my Sunday morning at work more bearable #cold yet #happy,1,0
768,"There's no such thing as ""too much ammo""",1,0
769,It's the most wonderful time of the fiscal year :(|,0,1
770,@user Is it snowing in Canada? Just on the hills here at the minute but hoping for a white Christmas,1,0
771,How Badly Do You Need That Burrito? (That's sounds naughty) #burrito,1,0
772,Well today has just started off great.,0,1
773,I love being on hold. Especially when the music is so great.,0,1
774,Hit Them Angles And Duck Face To Hide Those Wrinkles ; ) #ThatsABossBitchRightThere . . . !!,0,1
775,At least my tan looks good 😳😂  need to learn to appreciate my pale skin 🙈,0,1
776,@user @user I won't be pledging anytime soon...why are these GROWN women competing..AKA vs DELTA...crabs in a barrel..SAD,1,0
777,Getting sick just in time for finals is so great,0,1
778,thanks for clearing everything up Koenig  #serialbrady,0,1
779,Just received an email that I am the heir to the Nigerian Petroleum Corporation. I should immediately send them all my bank info.,0,1
780,What am i doing with my life,1,0
781,"Same as what Whoopi said about rape of 13 yo by Roman Polanski. Not ""rape rape"" b/c she was drugged. via @user",1,0
782,@user have you heard back yet?!,1,0
783,"oh lord!  RT @user RT @user Before becoming an actor, Tom Cruise wanted to be a Catholic priest.",0,1
784,Cc: @user My last tweet. Wayne's World is a great movie.,0,1
785,Lady in red ❤️✨💋👸💃|#ootd #im #the #mom  #the #godmother #lol #athenakairalyn #baptism #love...,1,0
786,to have a highway clean up section of highway. people expressed their freedom of speech @user @user @user,1,0
787,"@user its my workhorse, practically glued to my hand",1,0
788,@user @user I bet those fairways and greens rival the work of @user,0,1
789,"#Comptroller: #CitiBike #Stations, #Bikes  #Being #Properly #Maintained: As CitiBike gears up to expand, the...",1,0
790,is when someone has been quite vocal against liberals but at the same time supports @user :),0,1
791,and he takes calls when his phone thing works @user @user @user @user @user @user,1,0
792,It's so much fun to drive a front wheel drive car in the snow,0,1
793,Another new politician in the state with a social science degree and a liberal arts diploma... Just what we need  #greensfail,0,1
794,Getting my midterm back was such a great start to my day  #badday,0,1
795,Same #Soundcloud dl: Follow> @user #ATL #ConsciousMusic,1,0
796,Looking forward to mine and the boyfriends 2nd Christmas together!!😘🙌💕,1,0
797,@user no u dnt hav to..bt sme ppl do....evn whn they do shit.. :-P,1,0
798,@user @user @user first line is correct!! Can't say about the latter one!! 😁,1,0
799,buzzing for school on monday..,0,1
800,Fleury with 5 shut outs so far on the season. He's still not good though,0,1
801,"Wrapping up CROTCHED MOUNTAIN commercial tonight, and packing everything up to head up to Loon Mountain Resort...",1,0
802,tough day in sun #kitsch#funny @ Costa Teguise Lanzarote,1,0
803,michael have a sexy face when he cough,0,1
804,@user @user Well it's not any worse or better than 'Stark Raving',1,0
805,@user thanks for leaving the dish for us  #badbusiness,0,1
806,Just snap chatting my sister a few times.. #shelovesitwhenIsendthatmany,0,1
807,@user Home page at 8:30am shows Dow -51.44 but it's +102.75. Can you make your home page stats more real-time pls?,1,0
808,Photo: Abstract Tribal Bubble Jumpsuit Size: s-xl Cost:$39.99,1,0
809,Rain and sleet hun? Yeah I totally want to get dress and go to work. Sounds like  fun  #iwannagobacktobed,0,1
810,"My professors moustache is so uneven, Mohstash would be ashamed right now",1,0
811,Best Christmas gift @user new album.,1,0
812,my life won't be complete until I meet @user 💕,1,0
813,If this year wld be filled w all these rainy days it wont be so cool a cool way to start e year,1,0
814,"Well that's my Becky in London with her nan, an the big girl dan too start her new job tomorrow #feelingabandoned  haha",0,1
815,@user #me and #change were not friends I still need #time,1,0
816,Small amount of lads with birds nests' for hair cuts  #ha #3allover,0,1
817,"Rolls-Royce, as envisioned by the wonderful people at Mansory #rollsroyce #purple #customcar",0,1
818,@user well what can I say 👤,1,0
819,Nosebleeds in the morning are my favorite,0,1
820,THE WORLD'S BIGGEST ONLINE JOB Click and Get Started Now!,1,0
821,@user Funny thing is now she's a security guard at Fed Ex in LA where I pick up all the time.,0,1
822,"Pretty sure there's a satanic baby in the apartment next door. Stays howling. Not crying. Howling. All day, all night. Ugh. #killmenow",1,0
823,Losing the keys to your car before your have to drive yourself to the airport to catch a flight is awesome.,0,1
824,Casual stroll with lauralobaugh   Rochester  #FunInTheSun @ Key West Islands - Florida (U.S.A.),0,1
825,I love how @user can stay up and tweet but can't stay up and hang out with me! #truebro,0,1
826,"Got up early to get the earlier bus , & I miss it!! Now I have to wait...Well this day is starting off wonderful..",0,1
827,That moment when you have to go to the bathroom but the cleaning lady is in there....#StillHoldingIt,1,0
828,@user # SHOCKING,0,1
829,The downside to working in fisheries and conservation is that you can rarely afford the cool things that promote your job,0,1
830,Love people that don't act like adults.,0,1
831,I adapted the Snoopy comic for academic paper submission :P Reviewer 2 is the stuff of nightmares!,1,0
832,@user @user What does PTI do apart from whining?  #Youthiacrasy,0,1
833,"Still wondering why the pop-up ""save password"" still pops up even when you do not tick ""keep logged in"". -Sarcastic",1,0
834,"And with this revelation, the African-American community's faith in law enforcement skyrockets!",0,1
835,@user At 2:30am? Who's gonna favourite it? An owl?,1,0
836,@user I have a boyfriend! () *hair flip and walks away*,0,1
837,Throwing up on Christmas morning is my ideal way of spending it.,0,1
838,Who's eating everything on the table for Noche buena? 🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋,1,0
839,@user @user Shit! I better shut my stupid girly mouth because im so concerned about what men might think of me.,0,1
840,"This team from Covington, KY pretty much sucks. #gosteelers",1,0
841,unless he's changed @user @user @user @user @user @user @user @user,1,0
842,"Velvet And Rhinestones Babydoll|Size:Medium and Large|Comes with softly padded under wired shelf cups,...",1,0
843,#politics is not my cup of tea says #sonakshi @user  of #lingaa fame . #sonakshi dad #shatru is our top #bjp leader,0,1
844,@user I don't believe you!!!!,0,1
845,"@user (281): If I had feelings, you would have hurt them.",0,1
846,"@user well, people did ask where would have been without McCormack, and here we are",1,0
847,@user annnnddddddd your opinion is irrelevant,1,0
848,@user @user trading a SP for a defense-only SS? Brilliant trade.,0,1
849,Saturday selfies miss you guys @user @user jessica101xxx mark8 😘😘😘😘kiss each and one...,1,0
850,Today should be fun,0,1
851,check it out!,1,0
852,"Heh, and fat, too. #ShotsFired",0,1
853,Two Broke Rednecks father/daughter riffing team who make fun of old educational films n more |,1,0
854,"I'm seeing #catfish while I search for a #fishsitter for my #goldfish, #LoveLife",0,1
855,"@user and we know abt the ""goal"" that (never) crossed the line  #holierthanthou #henryisalegend",0,1
856,@user nice. We make it in a pot with butter & Himalayan salt. Sometimes with infused salts for a change.,1,0
857,"@user @user |Here we are all alone |You and me, |Privacy |And we can do anything |Your fantasy ||#GetMeToEVC",1,0
858,stop subtweeting 😉,1,0
859,Looking forward to new year :D,1,0
860,I just found out I have a 13th grade education: must have slept through that entire year,0,1
861,@user gotta love how honest kids are. #saywhattheythink,1,0
862,"Pain is inevitable, suffering is optional|#Anonymous",1,0
863,Read at the news '#Middle #East #updates #/ #Assad: #US-led #airstrikes  #serious #or #efficient',1,0
864,"While politicians are busy in scuffles #PakArmy is doing their job yet maligned  ""@peaceful_h:Salute 2 PAKARMY",0,1
865,Is it ironic for a @user song to come on my #ipod after a @user song?!  #SelenaGomez #JustinBeiber,0,1
866,@user GG for giving us amazing collections for 10 yrs.In fact i was planning to do the same for u from my prospictive😊,1,0
867,@user Have you guys tried unplugging the servers waiting 10 seconds and plugging them back in?  #psndown,0,1
868,Here's the final episode of #minecraft #hardcore survival... We die while trying to get a sustainable food source,0,1
869,"@user What's the opposite of a cheat day"" called? Because THAT'S what I only have one of per week"" |What he said.",1,0
870,@user thats not weird at all,0,1
871,"@user Aww, you poor thing, I feel so bad for you being in sunny Florida. I don't know how you can handle it!  ;)",0,1
872,"Just realized I haven't watched this weeks episode of Degrassi.  I ""eventually"" get around to it.",0,1
873,#kimk dress style!!! @user s it or ? #balenciaga #kimkardashianwest #kimkardashian #vestito #moda #2014 #go...,1,0
874,"when singing along to songs in Korean and there is a part in English, I sing it with a Korean accent. WHY.",1,0
875,@user continuing with that wonderful customer service ?,0,1
876,Oh hello flu! Thank you for fooling me in thinking you were gone! I missed you so much!  #flu #yaay,0,1
877,last day of classes #trill except finals whoop,0,1
878,can't wait for the 3:30 hour drive back home.    #betarocks15,0,1
879,@user |Part 2~ ARTICLE|👏💜👉❌⭕👈🙏🙌  ~UEXPECTED,1,0
880,@user great Christmas.,0,1
881,I don't think it's the last time ;-) #hobbit #onelasttime  #cinema #ov #3d #48hfr,1,0
882,Well. If it's not one thing it's another. But hey why not a like new exhaust. #pissed  #GRRRR,0,1
883,Are you excited for the new #Blackberry #Classic #smartphone? Check out this article by @user,1,0
884,walking in this was fun,0,1
885,@user @user For the masses. I love it.,1,0
886,Image via We Heart It #boy #funny #girl #K #mad  #ok,1,0
887,"Dear Dr. Diaz, gravity does not exist, Einstein got it wrong. I wrote a book explaining my theory, let me know if you want to read it",0,1
888,@user I don't think your caramel frappe is salty enough.  #McYuck #lostsale,0,1
889,"Sooo mad right now, great way to start my day",0,1
890,Don't give up what you want most for what you want now. #inspiration #motivationalquotes #startup,1,0
891,#Minivan #Mom #Ebony #Wilkerson  #Guilty #By #Reason #of #Insanity: #Judge: A Florida judge ruled Friday that...,1,0
892,"@user I guess the picture will answer it. |Still , Answer 7 - Above and Beyond.|#QuiksilverGoesSupersonic",1,0
893,Happy stfx day! Lost my #Xring in '12. It was found 2 mo's later glistening on the 18th green of Lost Creek Golf Club. #xringmiracle,0,1
894,Miss skateboarding and it's not even winter yet 😔😖 #skateeverydamnday  @ Hoof Life✌️,1,0
895,@user @user You do look a die hard fan of his,0,1
896,#chattyman never fails to make me laugh @user #1 talk show on TV! #loveit,1,0
897,"wait for it ""city-data"" will become a Fox News site soon @user @user @user @user",1,0
898,Really looked forward to waking up this early for finals......,0,1
899,Turns out a sausage butty from burger king is just a burger. Really enjoyed eating that at half 8 in the morning.  #feelshit,0,1
900,@user y'all are doing a great job at keeping people safe,0,1
901,They bombarded out country  #immigration @user,0,1
902,Thank God that the wait for an appointment is only until February.,0,1
903,Sorry this doesn't make any sense why make it even more tough? That's going to produce more players..,0,1
904,Why is ISIS an acronym for words in English?,0,1
905,@user it's been over a year since you tweeted. #DoinItRight  #MaybeNextYear #NewYearsResolution,0,1
906,@user shows you that APC is a free and fair party#run by intellectuals#and this is what we call democracy dictatorship#,1,0
907,Its so hard to choose between the pleasure and the pain  #Girl #December #Love #Dream  #Strong,1,0
908,I'll go to Hawaii!|Bye Bye my friends! I'll be back😁😁#Hawaii#trip#with#myfamiry#because#girlfriend,1,0
909,@user - absolutely love this song! #CantStopSinging,1,0
910,Take my time because I want it all right?,0,1
911,@user Can't wait to play the #BFHardline Beta with you XD #Epic,1,0
912,Left my lunch at home. Swansea canteen outdoing themselves with this generous and well priced portion of food,0,1
913,We hold these kids back.....  #RUT340,0,1
914,"Can't believe ash made this, too funny #Tolo  #Never",0,1
915,when you get friendzoned by someone you trying to friendzone...sigh,0,1
916,WOW !!! Really ??? Homework in the weekends?!  #talkingabout #theteachers😡😡,0,1
917,... @user slaying in Igloo Australia's home country lol  RT > @user Nicki is SLAYING New Zealand!,0,1
918,I love waking up five minutes before I have to be at school...,0,1
919,Falling asleep to the sound of rain is so relaxing ☔️,1,0
920,Gotta love #EMC's latest feature on the VNX side.,0,1
921,@user everyone just wants to be you your just sooooo cool,0,1
922,My life on a daily basis  #notreally #lcsbeauty #followme #lblogger,1,0
923,@user the good old days!,0,1
924,@user Tried to cut and paste a tweet from SA Mining where they got GO Green Consulting ... it's in my timeline.,0,1
925,is not lost. @user @user  @user,1,0
926,Shawn still hasn't follow me....and I'm okay with it,0,1
927,Gotta go home and cook a big breakfast 🍴,1,0
928,@user |Horrible day in Cambuslang!  very Christmasy,1,0
929,And then today was 💩. What a surprise!  #2of6 #6daystretch,0,1
930,Off to search for a Christmas gift for my dad bc procrastination 🎁,1,0
931,Hashtags are great idk why everyone stopped using them #jk  #bye,0,1
932,"@user I infer that you are besmirching coffee, but that can't be right",1,0
933,@user @user To be fair he looks like he's lost a lot of weight since his amazingly successful halcyon Leeds' days!,0,1
934,#oldfriends#are#old#anymore,1,0
935,#Canned #Food #Lot  #Of #Space #InteriorDecor Please RT:,1,0
936,"there is only 1 race, HUMAN so i dont look at things by the myth of ""races"" @user @user",1,0
937,I now have ZERO resect for DeMarcus Cousins.,1,0
938,The city that only sleeps on mass transit. #naptime  #isntitironic #donchathink #imnotsure...,0,1
939,"@user  #PSA Hey Jay, I tuned in when u said ""why all the cocaine talk today....after tweeting coke joke saw it's Escobar's 65th",0,1
940,@user It's no longer political.@BarackObama is setting the stage for all out race war.That is his only way he can succeed.,1,0
941,They thought I was gone ! These vegas niggas gone respect me and know I been doing this shit too ! & I...,1,0
942,#Bit #Chair #Comfy #Mind #Nope  #ikea #decor|Please RT:,1,0
943,"@user this made me think of you ""@TFLN: (330): I need vodka mixed w a bit of holy water right now""",1,0
944,@user clever you!,0,1
945,When someone who is extremely selfish dramatically wonders why people are so selfish !,0,1
946,"#FEMALECONDOMS  |#herpes is  #curable, it #can #be #managed..",1,0
947,@user gun laws will fix everything,0,1
948,Sexist article in the Daily Fail about men wasting money on cycling - accompanied by recommendation for a handbag costing £999.,0,1
949,"@user looking great today Diane, it's not fair you're not on more.  enough Diane",0,1
950,That moment when #BabyBoomer next to you philosophize about the lacking #communication skills of #GenerationY ->  #NewWayToCommunicate,0,1
951,@user @user @user @user tweeted this at me yesterday,1,0
952,#Fears #for #female #Saudi #activist as #detention for #driving a #car is #extended via @user,1,0
953,I'm not usually a fan of anything #pumpkin or #pumpkinspiced but OMG. These are the best cookies I've...,1,0
954,People in this school seem to amaze me..,0,1
955,We spend our childhood in a hurry to grow up and when we grow up we want to retain our childlike nature! #justsaying  #lifegoals #kids,0,1
956,@user that's 4 steps. But I can dig it.,1,0
957,@user There's no personal responsibility anymore. You can't expect anyone to think.,0,1
958,.@nypost .@Cameron_Gray Oh that makes it all better!!!,0,1
959,San Diego is amazing and I'm never coming home,0,1
960,@user @user How can you even keep up with all this great music?!,1,0
961,Getting my shit together in 2015 like........ #2015isthenewturnup #myboos #funtimes #makingmemories...,1,0
962,"wow, look at you hotshot.  #isthatajoke",0,1
963,@user definitely consult a tax professional on that one.,1,0
964,What a joke. Thanks for the detailed response and communication with your customers.  @user @user,0,1
965,Oh noes! The night train Berlin-Malmö runs only during summer! & me who was planning a long comfortable train trip :(,1,0
966,"When j need the mailman to come late, he's here at 8a. When I can't wait for the mail to come? 7p.",0,1
967,Don't forget the true meaning of Christmas🙏,1,0
968,#page#found#404,1,0
969,I just swallowed my giant lozenge. Now my throat actually hurts. I'm glad I have Twitter to share my despair. #sick,1,0
970,@user not always. They've found them in $500k homes,1,0
971,Like Tyndall's system I just think Robert Hubbs should play more he gives us another scorer and a consistent 3pt shooter that our O needs,1,0
972,"Good news! Thanks to the #ACA, my husbands insurance premium jumped up 971.2% in one year! Hooray!  #ThanksObama",0,1
973,I miss the days when all my close friends lived in the same city.,1,0
974,What do you call a Chinese millionaire?,1,0
975,Because standing by a board about dental hygiene for two hours is how I wanted to spend my birthday..,0,1
976,@user right! Clearly the po-po has been playing too much Call of Duty,1,0
977,"Migrains,, throwing up are always fun",0,1
978,"@user we are here to fight endlessly and change the system, atleast I am not going anywhere irrespective of result #AK4Delhi",1,0
979,I love 14 hour shifts  😩😩😩,0,1
980,That's always a great way to boost self-esteem,0,1
981,Carbon everywhere :) #carbon #hood  #sticker #strips #down #red #automotive #dope #cars...,1,0
982,@user so pissed at 2K rn..,1,0
983,Gotta baps that hoe thou,1,0
984,Dentists oh the joy,0,1
985,When you show your valid 16-25 railcard and shes charges you full price anyway. Great service from Tamworth  @user,0,1
986,"My dove wrapper told me to be mischievous, so if anything happens, that's my extenuating, external attribution to blame  #psych",0,1
987,Tribute to a brave elephant simply defending his family.,1,0
988,@user @user there are more lawful ways the lawmakers whould av gone about gaining entrance not by breaking the law  kind of,0,1
989,Love this weather,0,1
990,@user Kohli showing all the guts of Scooby Doo. #CaptainCourageous,0,1
991,@user i don't like yellow but most of my things are yellow.  hi kapitana!!! Nagaaral kmi ni @user ASDFGHJKL HUHUHU,0,1
992,Mid speech @ Christmas Lacrosse Ball #flattering  @ Grand Cafe,0,1
993,It's nice to see continuity in our gender struggles.,0,1
994,I just love when you test my patience! ☺️,0,1
995,"@user My ex husband's autopsy report from the coroner took ages too, it just seems to be the slow machinations of the process.",1,0
996,"The secret of #change is to focus all your energy, not on fighting the old, but on building the new. ~Source Unknown|#Quotes|#QvAW",1,0
997,"Gotta love the ""friends"" I have out here hahahah  #nosuchthing",0,1
998,"#OPEC #chief #defends #policy, #says #group to #try to #ride #out #price #fall. via @user",1,0
999,Taking Over the mansion with the Mexicans @user,0,1
1000,just dropped my new single||it's me||i'm single,0,1
1001,Favorite @user if you love Romance Novels. #Love #Drama #Romance,1,0
1002,Bhopal victims don't get justice aft 30yrs but don't find place in prime and a man traveling in business cls is prime time news..,0,1
1003,The #hardest thing's  #knowing & #having the #faith to #keep #going,1,0
1004,"Looking forward to a nice and long 130km #cycle tomorrow, in the minus degree weather  #fool #festive500",0,1
1005,When that bish defollows you  #disney #belle #MoreFollowersPlease,0,1
1006,Just got the message I need to start working at another location. Brilliant!  now rushing towards second location. Oh god I hate Mondays,0,1
1007,Just flossed and then ate right after #inconvenient,0,1
1008,He has all the virtues I dislike and none of the vices I admire.|Winston Churchill,1,0
1009,@user @user Nice smile,0,1
1010,@user @user Chortle. Would he have liked Palmer?,1,0
1011,"@user @user zero place for that. when the karma train finds Raiola, I hope it has a full head of steam",1,0
1012,"Im aware that NYE celebrations are usually laiden with false expectations,I'll just be happy to close the door and kick 2014's arse thru it.",1,0
1013,"Day 4 ""joyous day"" #decemberchallenge #picture speaks for itself #costateguise #beach#peace#2nd home#...",1,0
1014,What a good way to start the New Year..|,0,1
1015,Oh sprints I love you,0,1
1016,idk what I love more how cold my western civ class is or western civ.,0,1
1017,".@toppscards I couldn't find the letter in my binder, but I did find these!",1,0
1018,#NYPD  😟😕😢😪😞 not cute #NYPDMutiny I am sure the citizens feel real safe  you showed us who you are.,0,1
1019,yeah English stop saying Jane's word,1,0
1020,My favorite color is every color.,1,0
1021,@user @user true n that's y we r jaded EVERY YEAR,1,0
1022,@user n the  is the promotions r by human n not by the religions. For strictly speaking all religions believe it is the right 1.,0,1
1023,Coin ! WatcherOnAWall: Anyone else find it sad that we have to remind Conservative Republicans that Torture is wrong? #TortureReport ...,0,1
1024,"@user @user when did you get so cynical, Karna!?!?",1,0
1025,"dude said I better think hard , so he can take me to cheddars lmao !",0,1
1026,@user Pierce had 34. What's wrong with 36?,1,0
1027,"@user @user @user I'm trying to decide if that cover says ""lonely widower' or not.",0,1
1028,@user wtf thanks for saying bye,0,1
1029,Gym and I are gonna have a reeeaaalll nice date tomorrow.  #imgoingtostruggle #VSFS2014,0,1
1030,"Yoga pants, a sweatshirt, and nikes, am I @user yet? 😂",1,0
1031,"@user I learned that if you want to make it bad enough, no matter how bad it is, you can make it. -Gale Sayers  #Wise",1,0
1032,I got tampons!,0,1
1033,@user Toronto man finds woman with ex-girlfriend's name for free trip around the world I should have changed my name!!!!!,1,0
1034,"You missed it @user I just watched #GoT the rains of castamere, Rob Stark and his entourage all die :-(",1,0
1035,Such a great damn day.,0,1
1036,"juugin everything, niggas got warrants to pay",0,1
1037,Taking the bike through rainy and cold dark streets to the dentist. Yaaaay. #Somuchfun,0,1
1038,Me when I think I can do a cartwheel!,0,1
1039,@user @user #goodgrief he may already have gone a little too far with those eyebrows!,1,0
1040,Nothing like waking up to the sweet sounds of your cat trying to chew the shoelaces off your husband's new boots,0,1
1041,"Well, weekend is over!|Now it's #TwitterTime again :D|Have a nice monday!|",0,1
1042,The Penguins cancelled their morning skate today...due to icy conditions.  #butseriouslytheroadsarebad,0,1
1043,"Well, my nmu computer just took a poop on me :/ hopefully it will start back up later.. #whatDoIExpect #NMUComputersAreTheBest  😑😒",0,1
1044,@user did you think that only making 100 was going to be enough?,0,1
1045,This is the weather i just love walking to work in  #worst #weatherbomb,0,1
1046,"[Alaska #HipHop] Flowtronics: What's This World Coming To (Rizzle P, Boone Pratt, Token R...: via> @user",1,0
1047,"@user #eskom yup, service delivery is impeccable . diesel supply or cash flow problems? Ineptitude",0,1
1048,#bitch #bitchy #badass #lol #laughing #jokes   #funtime #funny #fun #ecards...,0,1
1049,#Australia -- Eight #children #killed in Australia in #reported #mass #stabbing. via @user,1,0
1050,Just seen the result| What the actual.... #saintsfc,1,0
1051,Lagopodous - Like a rabbit's foot!!|Not so easy to drop into conversation but you never know.,1,0
1052,@user  ___ I love that Song <3,1,0
1053,Why is paper so sharp? Someone should put a ban on paper!  #liberalmentality,0,1
1054,#Cuba #sees #long #struggle #ahead #before #U.S. #lifts #embargo. via @user,1,0
1055,@user Oh that sounds like a great plan.  @user @user,0,1
1056,This is a song??? Awful!!,1,0
1057,@user HOW DARE YOU HAVE FUN AS CHRISTIANS! WE ARE SUPPOSED TO BE BORING AND HAVE ZERO FUN! HORRIBLE CHRISTIANS! LOL #MISFIT,0,1
1058,Get Updated with Basant Rai is out! Stories via @user @user @user,1,0
1059,"Lovely first day of 2015; friends, family swim, sort & cleanse, curry, less time on social media, more time on others #startasyoumeantogoon",1,0
1060,@user Ask a liberal and he will tell you Obama got us out of Iraq and won the Afghan war...and no one ever died under his watch.,1,0
1061,is the name of the game.,1,0
1062,Can't believe @user is even considering renaming the Academic Building after Perry...b/c he did so much great stuff for public educ?,0,1
1063,@user You are no fun at all!,1,0
1064,I still love the newsroom regardless of what everyone else thinks,1,0
1065,I don't even have progress on my thesis tas preparations for our event this thursday 😩,1,0
1066,First photos of the Infiniti Vision GT concept emerge,1,0
1067,I hate when random people get in the hot tub with me #favthings,0,1
1068,Pre work shenanigans lmbo alissamarie_b #letswork  #kiddingnotkidding #funtimes #sheseriouslyrocks,0,1
1069,Every story has an end.. but in life every Ending ia just a new Begining. #quoteoftheday #lifequotes,1,0
1070,How the fuck do u come out of a commercial injury break w a delay of game? #Redskins,1,0
1071,Girls who can rock this thang~ #PrincipalSwag,0,1
1072,Follow friday is everyday. Help new ones so they feel good being on twitter.,1,0
1073,@user really showing me the fastest LTE around  #speedtest,0,1
1074,"@user yes, we officially try that.  #Gamergate",0,1
1075,@user  don't you see the  for call teammates soft when you haven't been to practice in 2 weeks?  #overpaid.,0,1
1076,Can't wait for the #facup 3rd draw,0,1
1077,Fun fact: I have a color guard rifle named Stitch after I got stitches from it plus Stitch is my fav!,1,0
1078,Photoset: leupagus: itsxandy: thefingerfuckingfemalefury: sevenpoints:  getting paid enough to put up...,1,0
1079,at peak!! ;),1,0
1080,Stuck in traffic!!! ☔️⚡️ #mondays #athensbyrain #traffic #ontheroad #ontime?  #sisters #COOLURSTYLE...,1,0
1081,#GlobalWarming would be nice right now if it were only true!||Call #AlGore 2 burn money 4 #Christmas. ||#ＦＯＬＬＯＷ,1,0
1082,@user becauseeee I miss youu  coffee later?,0,1
1083,"really, what else can a fish be besides a fish? @user @user @user @user",1,0
1084,Woke up to find out my vehicle insurance went up $22 a month!! Merry Christmas to me...  😒,0,1
1085,@user nice to know that you give me so much importance. :)  :] @user n,0,1
1086,Not everyone will understand you. That's life.|#goodnight|#gatecrasher,1,0
1087,"Close to white folks, I am forced to witness firsthand their willful ignorance about the impact of race and racism.-Bell Hooks #Ferguson",1,0
1088,Can't believe it's been nearly 11months since my mum passed away 😬 miss her so much more and more everyday 💜💕,1,0
1089,"#Kaley Cuoco-Sweeting #apologises #for #saying she's  #a #feminist: Kaley Cuoco-Sweeting, pictured with her...",1,0
1090,Oi na how am I functioning right now #sleepdeprived,1,0
1091,I asked God to protect me from my enemies .. shortly after I started losing friends 😳💯  or #naah,0,1
1092,@user Lol I reckon. Was all in jest. I hope.,1,0
