醤	酱
籹	粔
霺	溦
宍	肉
亰	京
膸	髓
趮	躁
𫒱	射
骔	鬃
𫚸	䳑
孏	懒
蝛	蛜
廰	厅
譼	监
韐	韎
粓	泔
镸	長
膬	脆
沜	畔
𥥷	竇
𧺆	走
遯	遁
𫄱	繬
粧	妆
鯺	蠩
挿	插
𩝦	齋
膄	瘦
𡰸	屐
迖	达
𢦣	曳
𫝰	竃
𪠸	嚛
姢	娟
𣏁	某
冃	帽
𪠰	腏
禴	礿
𠙠	爽
𢍩	甚
𫎱	䟐
淊	淹
屳	仙
憗	慭
酧	酬
龧	曙
曐	星
𠀀	呵
餠	饼
爤	烂
哅	訩
黱	黛
𢙉	惱
憆	瞠
隚	堂
𫑕	㗢
舓	舐
𦍚	羔
耉	耇
鞻	鞮
𧳒	貌
𫟻	銂
顊	颐
靹	䪏
𣶒	淵
勯	殚
瀜	浺
鏁	鎖
槕	桌
靕	正
鍨	戣
䛺	誡
𦲷	蒞
郞	郎
𦮙	葵
鴑	鴽
豴	蹢
啳	颧
凬	风
鞌	鞍
垖	堆
刞	耝
籸	糁
躷	矮
岥	坡
匳	奁
皨	星
軠	軖
𫝌	與
磇	砒
脋	胁
㧏	掆
鈬	鐸
鯂	稣
宩	屎
圡	土
凨	风
丄	上
偸	偷
𫟲	釚
髪	髮
𡿨	畎
𪜅	深
𨂻	蹈
𠛅	剾
洊	荐
𡉡	坐
亗	岁
醩	糟
𠎝	愆
𤪞	瓊
𫟘	衞
𫟪	邊
洀	盘
𠊵	傰
甛	甜
畳	叠
歕	喷
袵	衽
𫙇	鑊
匃	丐
酫	醛
笻	筇
梥	松
鎻	鎖
旘	幟
𦂶	绮
穞	稆
疪	痹
軄	職
骾	鲠
廵	巡
觕	粗
鄼	酇
𤺘	啞
笵	範
觪	觲
譻	嘤
𫟺	䤤
𪰅	獯
𫊪	䗅
𢫩	薅
𠇺	狎
艪	橹
葊	庵
砦	寨
亖	四
𪯖	勠
凥	居
𫠈	䫾
浱	漘
尛	麽
艈	毓
崈	崇
鯘	鮾
蓡	参
巣	巢
樜	柘
肻	肯
鞹	鞟
糚	妆
弐	贰
衤	衣
覇	霸
灲	灱
鸆	鸅
翤	翅
𩨜	把
鞤	帮
鄿	蕲
踍	骹
𠂢	派
飰	饭
礠	磁
壡	睿
瞚	瞬
儞	你
叒	若
鬛	鬣
藼	萱
籭	筛
逰	遊
鬰	鬱
𫔁	鐼
鮷	鯷
蠭	蜂
霗	零
馽	絷
䴥	麚
觙	伋
忰	悴
檥	舣
暦	曆
乕	虎
䊚	䭔
𤿑	㝿
𧘉	裔
訤	誵
麙	羬
枒	丫
𫠋	騼
敯	暋
汒	茫
鍞	铿
瑘	琊
𫞂	曜
𫝧	㜐
䜈	勦
啗	啖
𫟴	鈖
熫	炙
餽	馈
歨	步
禙	褙
鍯	鏓
飤	飼
𠥧	杯
砿	矿
𪳯	棠
灳	辉
爗	烨
𪶻	資
𫙐	漁
𠕅	再
伅	倱
𩆩	澍
畭	畬
𫟄	綋
𫗪	餧
廼	乃
鑝	蓬
葐	蒛
簵	簬
亼	集
𪢸	墲
趓	躲
𣻞	洔
縘	繫
𠹈	儺
噖	吟
𪭊	扐
尭	堯
鞂	秸
餙	饰
轝	舆
凞	熙
覄	覆
毩	鞠
傗	滀
哸	嗺
乨	始
頟	額
媺	美
匢	匫
梄	槱
瘔	苦
曓	暴
𫞔	殲
灋	法
暁	晓
𠃨	丮
顚	颠
巺	巽
醘	榼
懕	恹
𡉇	塊
晈	皎
橜	橛
䏻	能
崪	崒
蝱	虻
䨖	霽
𠳾	喊
𪧕	堡
𪂿	鶗
獏	貘
鼃	蛙
𤘅	伢
𡚍	匳
𦰗	華
磵	涧
凲	尲
樐	橹
険	险
髠	髡
獂	豲
鳵	鸨
𫁘	竈
鵶	鸦
𥍸	鍦
贒	贤
蘃	蕊
毮	裟
黒	黑
圂	溷
繤	纂
膓	肠
鋕	誌
愳	惧
侢	戴
刼	劫
𫌣	䁋
𪭢	摐
皷	鼓
𠄠	上
斵	斫
蝂	蝜
蔳	蒨
罸	罚
鉇	鍦
㭨	椰
趦	趑
屫	屩
瓉	瓒
桰	栝
𡒩	櫜
𠲿	欶
𫉬	獲
鮌	鲧
糭	粽
丆	厂
坕	经
沢	泽
肧	胚
彉	彍
幱	襴
団	团
燌	焚
堺	界
𠥩	箕
囙	因
韈	袜
𠯠	噅
𫍫	䛳
𦉆	碴
狫	犵
𣥶	步
𠮷	吉
𫝉	倉
撶	划
攵	攴
𩱈	炒
憅	恸
𫑜	洮
幑	徽
拡	扩
塧	隘
鶂	鷁
魭	鼋
烾	赤
堓	岸
𫞕	氏
礲	砻
踘	鞠
𡴘	幸
煖	暖
𫖰	䫂
顁	定
𫠃	隰
癎	痫
矈	矏
冡	蒙
塎	埫
燲	熁
髣	仿
𫠕	鷹
笹	屉
檱	棋
镹	久
殱	歼
髤	髹
櫈	凳
猨	猿
矟	槊
搼	拳
艸	草
燪	熜
𫞓	歲
勮	剧
昻	昂
験	验
鄕	乡
撆	撇
𠪳	虎
𫎿	爽
磒	陨
𫒘	缶
綕	织
棢	辋
淿	泊
觩	觓
龣	角
犭	犬
𫟰	鐺
𡲾	㞜
藳	稿
萔	苕
𧿧	跅
薓	参
𫝕	辰
鍢	鍑
丷	八
刾	刺
褁	裹
槹	槔
鷪	莺
畆	亩
驘	骡
𤞏	狮
歖	喜
躰	體
雤	鸒
戼	卯
蜽	蝄
抜	拔
譪	蔼
蹓	遛
寘	置
𣭀	菢
𫑍	譴
勊	剋
鹻	硷
𠃔	久
譹	号
煫	燧
𫞨	璼
緿	紿
臿	锸
聀	职
墇	障
熶	爨
蝐	蝳
栰	筏
凷	块
燇	焌
𪸍	燕
耡	锄
癳	瘰
瑌	碝
卂	迅
𤏶	爊
嚖	嘒
艢	樯
蜝	蜞
醆	盏
鬵	甑
妅	娂
謿	嘲
𣈌	督
圽	殁
寳	寶
豊	礼
呧	诋
𫖺	䫶
尩	尪
埿	泥
陱	鞠
鄷	酆
疈	副
堘	塍
宂	冗
痩	瘦
𪠚	壢
兦	亡
㘪	耗
暣	气
鯋	鲨
蕵	薞
觵	觥
噑	嗥
櫐	蘽
蔾	藜
𤕬	疾
劷	劝
礚	磕
蹮	跹
蔵	藏
𫟠	譂
𫅅	䍤
縄	绳
忷	恟
赿	迟
壐	玺
壦	埙
槖	橐
𢑞	㣇
俲	效
墝	硗
扌	手
濵	滨
忈	仁
冄	冉
侽	男
𥧔	屁
𫟢	䜖
楡	榆
鷃	鴳
郌	邽
𫟱	鑄
蛽	贝
愞	懦
搉	榷
舎	舍
㷩	熙
愅	革
蝆	蛘
倂	併
礏	磼
鏳	铮
𫞤	猿
禸	蹂
筯	箸
𦔵	聞
𫊼	蛡
唙	嘀
𪥰	嬣
煑	煮
埛	垌
㕻	咅
擨	揶
蓳	堇
撯	擆
勅	敕
邫	邦
靍	鹤
匟	炕
琘	珉
姉	姊
洠	涘
絵	绘
鯌	鮳
癛	凛
𪺽	猌
稺	稚
撢	掸
鐂	镏
𠖶	㓎
矵	砌
籵	蹯
暭	暤
赼	趑
𦋹	瞐
燷	燣
㔛	劼
𫝡	堕
彞	彝
𦉪	网
踨	蹤
𫓕	敦
𫝠	壇
髆	膊
㮣	槩
𫖍	韍
旙	幡
揅	研
濅	浸
幙	幕
𥺡	粚
鴈	雁
皢	晓
鬁	痢
𪢄	喅
麏	麇
蚠	鼢
䜄	謘
泴	盥
甮	甭
𫠅	韚
淾	饮
銭	钱
関	关
㒩	倮
𫟷	鉝
霘	霟
𫑲	唐
𢱊	掠
𣅯	晝
歴	历
楕	椭
隄	堤
匥	笲
惥	慂
槇	槙
衞	衛
纒	缠
酔	醉
瀥	滈
髈	膀
盌	碗
歚	缮
塐	塑
劒	剑
簼	篝
﨤	及
䬜	魑
蚉	蚊
𪴩	㕫
譋	谰
𣷠	明
蔉	蓘
躛	躗
灜	瀛
汣	氿
𫟏	菟
鶃	鶂
鰀	鲩
𩐅	㪪
捴	总
欱	喝
疩	瘁
鋔	挽
葔	薃
觮	角
鑳	键
啺	唐
椘	楚
桟	栈
坿	附
禩	祀
蕋	蕊
𢪼	撓
毝	彩
珱	璎
曺	曹
靣	面
紭	紘
𢘫	正
夀	寿
㩦	攜
孞	信
瘇	尰
舩	船
蔅	妍
𤶀	㽱
䘔	喀
刏	刉
䘚	卒
禑	祦
雡	鷚
唖	哑
懘	惉
珳	玟
稸	蓄
𪾇	披
讃	讚
耼	聃
嚞	哲
眽	脉
繥	嬉
苿	菋
螰	螇
肬	疣
𨉣	哈
鞱	韬
赱	走
鐩	燧
僊	仙
偝	背
斲	斫
㨲	㩍
𫟚	裏
憻	坦
惷	蠢
嶖	崦
侊	觥
嘨	啸
拠	据
絤	线
𨆋	巵
殬	斁
聮	联
仾	低
駼	騊
𧢻	觸
𢙐	憹
唘	啓
𡾝	㠢
啠	哲
鎽	锋
𫞜	满
暞	曒
𩨘	肐
癅	瘤
㥫	惇
糓	穀
𫞎	橋
凮	风
豒	秩
焳	爝
毴	屄
蠤	蟗
辢	辣
髩	鬓
丩	纠
囻	国
蹏	蹄
𣅜	皆
衘	衔
叡	睿
𠯁	足
郰	鄹
剠	黥
髊	骴
冣	最
勀	剋
瀐	瀸
𨶔	闕
陗	峭
𤝼	猘
饍	膳
齚	齰
葘	菑
勡	剽
橮	柳
塜	塳
迻	移
鶕	鹌
蜖	蛔
𫞠	爧
𫟥	䡩
㫖	旨
𫉏	捷
湼	涅
貃	貊
巬	巭
𦜝	臍
礈	坠
込	迂
氒	橛
檚	楚
𨮯	鐵
𣕤	棗
橣	柠
蕐	华
罁	缸
汓	泅
醼	宴
鬜	鬝
貦	玩
玏	瑊
𤕓	爺
盙	簠
泈	汷
脇	胁
卋	世
剤	劑
罒	网
揹	背
礀	涧
隟	隙
𠯣	足
枬	栴
暒	晴
㝿	跛
臕	膘
継	继
胮	膀
𫐃	申
鎁	铘
胟	拇
𤥎	琰
傠	伐
叓	吏
醡	榨
倎	腆
矁	瞅
楻	艎
壱	壹
僢	舛
紣	綷
臋	臀
𨰾	鎷
𤆍	赤
𣏌	㭒
魊	蜮
菦	芹
礍	碣
𦚟	胰
𦂐	緱
𫟜	觀
臯	皋
稭	秸
𪯙	敵
冝	宜
𫌲	誥
渏	漪
巄	巃
逬	迸
罙	深
妉	媅
𪥅	戒
骻	胯
琹	琴
讍	谔
缼	缺
澷	漫
齥	齛
朞	期
爴	攫
炗	光
䰺	魪
𫎇	蒙
炲	炱
嬊	嬿
罓	网
錱	珍
臮	暨
罋	瓮
隲	骘
肈	肇
苢	芣
栂	梅
𠒆	兒
楬	揭
𡨜	寂
虲	虾
灁	渊
灨	赣
䐛	㿴
㑪	儕
𤉡	兕
箰	筍
茊	兹
𫟳	釲
埑	哲
堗	突
塩	盐
邍	原
𪯈	扶
蛠	珕
舃	舄
鉱	鑛
羐	蔆
稾	稿
萷	梢
忩	匆
坘	坻
櫁	榓
毶	毿
㸰	犐
闘	鬬
賉	恤
蝵	蟗
祙	魅
乣	糺
𠃒	也
㙅	保
囘	回
𫞦	璾
貎	猊
鿄	梁
瘶	嗽
箊	箖
姸	妍
籄	簣
諬	启
闅	閿
寃	冤
氺	水
䥺	釾
礷	礛
𫟔	蕨
𠅅	宋
竃	灶
齅	嗅
樌	灌
燅	燖
疉	疊
蔆	菱
乢	丐
慂	恿
遧	彰
𫁍	朱
蹞	跬
𫕝	瀄
輏	輶
夒	猱
櫄	椿
怱	匆
揺	摇
𪣚	堰
軽	轻
𫒗	釴
軩	輆
䲩	鳲
梪	豆
𫟋	與
廐	厩
櫊	閣
麱	麸
僡	惠
𣬝	僚
篒	饐
嚒	麽
闗	关
瞖	翳
汱	汰
䎬	䎱
墂	标
𡝏	嬪
𦒋	翰
悓	俔
崱	屴
焴	煜
𫝊	傅
釻	釚
潹	潺
豋	登
淗	泦
毤	毻
釄	醾
亾	亡
亐	于
瘬	胀
牅	墉
䖣	蚤
閸	壼
咅	呸
飊	飙
娦	嫔
罆	罐
泭	桴
蔴	麻
鷱	鷎
𫟙	衞
蠌	螖
霤	溜
𧒻	蠏
嵒	岩
骪	骫
驝	驼
𧮇	䜕
妛	媸
鯈	鲦
袙	耙
敭	扬
埞	隄
𫑛	越
噾	喑
轕	轇
賍	赃
隝	岛
㕘	參
伨	徇
藂	丛
鼝	鼘
贁	败
縃	胥
垼	坄
歝	斁
刴	剁
嵠	溪
魀	尬
飅	飗
䗢	蚤
𫜢	一
𪠦	坂
焎	烲
𫔃	鐼
𫍈	謟
甎	砖
𢜘	笨
竾	篪
𡧱	害
礔	霹
蹹	踏
凣	凡
𪯢	䝺
騀	駊
𩨹	胛
𩕭	䫦
犠	犧
圤	墣
𪟣	擢
聓	婿
弉	奘
愽	博
輺	辎
鑓	鎗
𩢘	駊
歬	前
蟴	蟖
𫜞	蟔
剦	閹
萮	蓲
爕	燮
櫕	欑
肹	肸
崹	崥
淧	㴵
縁	缘
𪪶	揥
鸖	鶴
恱	悦
漡	湯
誈	诬
礶	罐
𪫐	逸
𥙫	槱
怣	尤
𫓞	林
鬎	瘌
竤	竑
倹	俭
帊	帕
宐	宜
磸	碇
吥	唝
捜	搜
宆	穹
氋	氃
濇	涩
唚	吣
𥓿	砣
毧	绒
弍	贰
摂	摄
𡲕	屜
硂	铨
堄	埤
蚦	蚺
祬	祗
𫝗	厚
塷	卤
𫞯	盈
畊	耕
瓈	璃
価	似
籐	藤
繙	翻
𨻕	隮
嵸	嵷
琝	珉
𥱒	澨
笶	矢
縦	纵
帋	纸
𡠉	嫠
囶	国
閅	门
雝	雍
嚻	囂
蕌	藟
𢪂	㧋
龒	龙
𠷿	咋
堦	階
徏	陟
縂	总
怳	恍
𩅣	䨺
圝	圞
緥	褓
炧	灺
韼	韸
貮	贰
仌	冰
搆	构
蘝	蔹
哶	咩
𫄰	縍
凂	浼
鉪	釱
宷	審
刯	剖
撘	搭
蝫	蜛
昬	昏
蜄	蜃
蝃	螮
捵	抻
濐	渚
焤	腐
揑	捏
扵	於
隖	坞
烣	恢
耈	耇
氹	凼
孼	孽
玅	妙
畒	亩
饄	糖
𪱖	鴃
𪭍	拱
逺	远
𩋔	鞋
鑚	鑽
砲	炮
瀞	净
碵	磌
鎠	钢
𥪡	豎
髙	高
箆	篦
𫟑	䖅
脳	脑
𫟆	緟
譿	慧
墷	烨
𫞹	空
嫯	傲
𠚣	刀
昿	旷
壍	堑
陻	堙
騣	鬃
錭	雕
垁	雉
𦼆	蕤
牠	它
潊	溆
𡭚	麽
迃	迂
夨	侧
顕	显
鍸	瑚
駵	骝
窻	窗
譮	话
榏	艗
𪜆	摙
傜	徭
粦	磷
艥	楫
𤎉	廉
𩝊	醍
艁	造
躃	躄
姙	妊
蠺	蠶
腁	胼
𣜦	檤
𧮚	䜕
䜿	豎
栠	荏
沀	汿
祅	妖
劶	勏
焠	淬
厀	膝
滝	泷
蟇	蟆
籘	籐
𠫸	齊
蝪	蛈
焔	焰
悋	吝
籰	篗
祣	旅
餁	饪
燓	焚
毬	球
塟	葬
𠀁	七
𪂃	鵯
鳮	鷄
耂	老
鷈	鷉
賸	剩
斘	升
朂	勖
𪜿	偃
徬	彷
匄	丐
碁	棋
秐	耘
彨	螭
囦	渊
頿	髭
䝺	貫
檪	櫟
兂	簪
霒	阴
霛	灵
缾	瓶
軡	黔
𪵍	令
冺	泯
稁	稾
釯	鋩
埀	垂
镾	弥
𫓇	造
踛	陆
窚	宬
儌	侥
飹	饱
烱	炯
巓	巅
㬵	胶
𪡛	㗿
鬫	闞
澝	泞
𣪘	簋
騐	验
𪫎	扣
晥	皖
婂	嬵
𨯀	鑙
㔻	丕
𥚟	祸
𥯣	篾
𥓭	䂹
壨	垒
赮	霞
僃	备
棃	梨
覙	诊
筺	筐
榢	架
𪧬	醄
馿	驴
疷	胝
赺	趛
汚	污
璛	玊
坵	丘
薗	园
稉	粳
仚	仙
苅	刈
咲	笑
晣	晢
儛	舞
畍	界
笁	竺
𥹈	䴱
勲	勋
伇	役
掋	抵
𣇶	沒
鞵	鞋
渁	渊
鱶	鮝
陼	渚
厯	歴
俻	備
壧	岩
篐	箍
𪫠	恐
娯	娱
𪯱	掀
哻	鼾
吚	咿
鬬	鬥
弻	弼
愂	悖
鲶	鲇
労	劳
葕	莚
聦	聪
偹	備
懐	怀
㘭	坳
揜	掩
鵄	鴟
冸	泮
𪥂	刀
鴼	鹭
𡣕	嬪
𫝆	今
𣫅	觳
𠷸	吪
鷼	鹇
丼	井
倐	倏
𡆢	囚
磗	砖
𤆡	熓
𫕿	鴹
働	动
碒	崟
鷰	燕
蹷	蹶
陦	岛
𥄢	相
朙	明
葮	椴
寑	寝
丬	爿
噵	道
軚	軑
褞	緼
珡	琴
奨	奖
鏠	锋
椝	规
崕	崖
驉	駏
簈	箳
𪪋	哉
𨒥	後
峵	嵘
虣	暴
𠂣	㐆
増	增
摣	揸
裩	褌
唃	唂
捐	捐
巌	岩
穣	穰
竂	寮
営	营
羇	羈
攩	挡
嶌	岛
発	發
噕	噅
鏿	鎗
珮	佩
売	卖
𫔊	鏥
訸	和
𦞣	臊
跼	局
𫍠	䛄
寕	寧
嚠	浏
鬄	剃
𫟃	絍
樼	榛
寉	鹤
𫟨	遠
琌	陵
仦	仯
𣞕	槸
溕	濛
皍	即
觽	觿
蠯	螷
蓞	萏
愙	恪
𪺟	壯
㹚	㹙
摾	弶
禥	祺
摉	搜
妬	妒
謩	谟
峀	岫
谉	审
擵	摩
膖	胮
湽	淄
駬	騄
䲒	蟹
逎	遒
粈	糅
𫝂	所
陿	狭
舖	铺
嬱	嬮
䳰	鴇
鑵	罐
琞	圣
撎	揖
罏	垆
𠇂	個
澋	浻
筩	筒
恴	德
惞	欣
𫙆	焤
𪤝	場
𫐻	趨
𫝟	堹
𫗟	䬧
簷	檐
経	经
鉌	和
龤	谐
冾	洽
唀	诱
鵳	鶗
浌	筏
稇	稛
褤	褑
豓	艳
檙	朾
袴	裤
𨓠	递
勎	勠
𫊣	吾
碔	珷
誟	詨
䒿	膋
濳	潜
𪗪	齝
𫑰	龍
駅	驿
𫞄	晉
螡	蚊
阬	坑
暎	映
厳	严
腗	脾
𪮃	㨻
𪨋	侹
䘒	朘
実	实
裵	裴
桮	杯
珤	宝
𫟝	讓
痖	哑
斉	齊
潃	滫
県	县
飌	风
桒	桑
𪨍	役
撦	扯
𤋮	熙
亀	龟
焈	熙
暐	炜
㷻	無
𩁿	虐
𠠍	劙
靱	韧
簱	籏
箚	劄
嗠	酪
壃	疆
凖	准
忣	急
蠰	蟷
潠	噀
跜	躨
𪠤	刀
滣	漘
摤	戗
兲	天
皩	皝
攂	擂
廽	廻
鵉	鸾
蕚	萼
𩨒	肌
磛	巉
𤸋	疥
䭾	馱
扠	叉
襩	襡
潈	潨
粬	麯
𪪸	振
総	总
緜	绵
𩦷	驖
剙	创
𡎐	埶
蟚	蟛
隦	陴
霚	雾
飚	飙
鑬	鉴
秗	饫
穽	阱
児	兒
醸	酿
拪	迁
𪱫	肆
嬍	美
揈	轰
牜	牛
憓	譓
汅	沔
𡯛	㝾
祳	脤
𨂋	躋
拞	抵
蛬	蛩
踈	疏
甁	瓶
閠	闰
㢮	弛
媎	姐
阝	阜
顋	腮
岏	巑
呉	吴
䑡	艖
𪊋	麂
喭	谚
摠	总
郶	部
旤	祸
蘜	菊
嶋	岛
𠥓	匚
鄽	廛
𫝩	嬦
螎	融
藡	荻
塙	确
櫉	橱
𫐆	轣
巜	浍
瓅	玓
菓	果
𫞀	族
虀	齑
嵆	嵇
麅	狍
逇	迗
𫟎	荒
蘨	繇
搇	揿
䬢	饕
籒	籀
𠪱	歷
堷	窨
懧	懦
髍	䯢
湇	湆
箝	钳
檆	杉
俕	僋
糂	糁
疅	疆
𢋾	廧
𡅕	囍
鳯	凤
釈	释
槆	橁
𠫤	吝
倸	睬
骽	腿
儵	倏
𪧶	闌
櫵	樵
騹	骐
搧	扇
灔	滟
跥	跺
叧	剐
僘	敞
鶾	翰
鐑	锲
彂	發
斎	斋
𢨲	房
蒃	篆
訿	訾
㓂	寇
𪟪	背
燛	煚
鳫	雁
陹	昇
筞	策
昚	慎
蚡	鼢
𢱧	批
䔫	蔬
柗	松
拑	钳
嵳	嵯
膁	肷
嶩	峱
渆	渊
骩	骫
𡵭	村
叇	靆
觎	觊
従	从
匑	匔
